instance_name,K,interpolant_status,smt2cnf_status,category
oski15a10b14s,12,none,none,exponential
oski2ub0i,16,none,none,exponential
oski3b0i,31,none,none,exponential
pdtpmsam2901,8,none,none,exponential
pdtpmsns2,13,none,none,exponential
pdtvisgigamax3,10,none,none,exponential
pdtvistimeout0,19,none,none,exponential
picorv32_mutAX_nomem-p2,9,none,none,exponential
picorv32_mutAX_nomem-p5,14,none,none,exponential
picorv32_mutAY_nomem-p6,7,none,none,exponential
picorv32_mutBX_nomem-p5,9,none,none,exponential
picorv32_mutBY_nomem-p1,10,none,none,exponential
picorv32_mutBY_nomem-p3,10,none,none,exponential
picorv32_mutBY_nomem-p4,12,none,none,exponential
picorv32_mutBY_nomem-p6,8,none,none,exponential
picorv32_mutBY_nomem-p7,8,none,none,exponential
picorv32_mutCX_nomem-p0,9,none,none,exponential
picorv32_mutCY_nomem-p0,9,none,none,exponential
picorv32_mutCY_nomem-p3,10,none,none,exponential
qspiflash_dualflexpress_divfive-p007,18,none,none,exponential
qspiflash_dualflexpress_divfive-p074,16,none,none,exponential
qspiflash_dualflexpress_divfive-p120,26,none,none,exponential
qspiflash_dualflexpress_divthree-p012,18,none,none,exponential
qspiflash_dualflexpress_divthree-p034,27,none,none,exponential
qspiflash_dualflexpress_divthree-p068,30,none,none,exponential
qspiflash_dualflexpress_divthree-p113,33,none,none,exponential
qspiflash_dualflexpress_divthree-p121,25,none,none,exponential
qspiflash_dualflexpress_divthree-p161,37,none,none,exponential
qspiflash_qflexpress_divfive-p036,31,none,none,exponential
qspiflash_qflexpress_divfive-p104,17,none,none,exponential
qspiflash_qflexpress_divfive-p107,27,none,none,exponential
qspiflash_qflexpress_divfive-p113,10,none,none,exponential
qspiflash_qflexpress_divfive-p121,16,none,none,exponential
shift_register_top_w128_d16_e0,7,none,none,exponential
shift_register_top_w16_d16_e0,12,none,none,exponential
shift_register_top_w16_d32_e0,11,none,none,exponential
shift_register_top_w16_d64_e0,10,none,none,exponential
shift_register_top_w16_d8_e0,15,none,none,exponential
shift_register_top_w32_d16_e0,10,none,none,exponential
shift_register_top_w64_d8_e0,15,none,none,exponential
vis_arrays_am2901,12,none,none,exponential
vis_arrays_am2910_p3,43,none,none,exponential
vis_arrays_buf_bug,17,none,none,exponential
zipcpu-busdelay-p00,20,none,none,exponential
zipcpu-busdelay-p46,27,none,none,exponential
zipcpu-busdelay-p47,36,none,none,exponential
zipcpu-zipmmu-p33,15,none,none,exponential
zipcpu-zipmmu-p48,12,none,none,exponential
