name,K,category,pddef,interpolant_computation_status,smt2cnf_status
pdtvisgigamax3,10,exponential,5,none,none
pdtvistimeout0,19,exponential,5,none,none
picorv32_mutAX_nomem-p2,9,exponential,5,none,none
picorv32_mutAX_nomem-p5,14,exponential,5,none,none
picorv32_mutAY_nomem-p6,7,exponential,5,none,none
picorv32_mutBX_nomem-p5,9,exponential,5,none,none
picorv32_mutBY_nomem-p1,10,exponential,5,none,none
picorv32_mutBY_nomem-p3,10,exponential,5,none,none
picorv32_mutBY_nomem-p4,12,exponential,5,none,none
picorv32_mutBY_nomem-p6,8,exponential,5,none,none
picorv32_mutBY_nomem-p7,8,exponential,5,none,none
picorv32_mutCX_nomem-p0,9,exponential,5,none,none
picorv32_mutCY_nomem-p0,9,exponential,5,none,none
picorv32_mutCY_nomem-p3,10,exponential,5,none,none
qspiflash_dualflexpress_divfive-p007,18,exponential,5,none,none
qspiflash_dualflexpress_divfive-p074,16,exponential,5,none,none
qspiflash_dualflexpress_divfive-p120,26,exponential,5,none,none
qspiflash_dualflexpress_divthree-p012,18,exponential,5,none,none
qspiflash_dualflexpress_divthree-p034,27,exponential,5,none,none
qspiflash_dualflexpress_divthree-p068,30,exponential,5,none,none
qspiflash_dualflexpress_divthree-p113,33,exponential,5,none,none
qspiflash_dualflexpress_divthree-p121,25,exponential,5,none,none
qspiflash_dualflexpress_divthree-p161,37,exponential,5,none,none
qspiflash_qflexpress_divfive-p036,31,exponential,5,none,none
qspiflash_qflexpress_divfive-p104,17,exponential,5,none,none
qspiflash_qflexpress_divfive-p107,27,exponential,5,none,none
qspiflash_qflexpress_divfive-p113,10,exponential,5,none,none
qspiflash_qflexpress_divfive-p121,16,exponential,5,none,none
shift_register_top_w128_d16_e0,7,exponential,5,none,none
shift_register_top_w16_d16_e0,12,exponential,5,none,none
shift_register_top_w16_d32_e0,11,exponential,5,none,none
shift_register_top_w16_d64_e0,10,exponential,5,none,none
shift_register_top_w16_d8_e0,15,exponential,5,none,none
shift_register_top_w32_d16_e0,10,exponential,5,none,none
shift_register_top_w64_d8_e0,15,exponential,5,none,none
vis_arrays_am2901,12,exponential,5,none,none
vis_arrays_am2910_p3,43,exponential,5,none,none
vis_arrays_buf_bug,17,exponential,5,none,none
zipcpu-busdelay-p00,20,exponential,5,none,none
zipcpu-busdelay-p46,27,exponential,5,none,none
zipcpu-busdelay-p47,36,exponential,5,none,none
zipcpu-zipmmu-p33,15,exponential,5,none,none
zipcpu-zipmmu-p48,12,exponential,5,none,none
