instance_name,class,K
oski15a01b41s,other,10
oski15a01b42s,other,10
oski15a01b43s,other,10
oski15a01b44s,other,10
oski15a01b45s,other,10
oski15a01b47s,other,10
oski15a01b49s,other,10
oski15a01b55s,linear,10
oski15a01b56s,other,10
oski15a01b57s,linear,10
oski15a01b59s,other,10
oski15a01b61s,other,10
oski15a01b63s,other,10
oski15a01b65s,other,10
oski15a01b67s,other,10
oski15a01b69s,other,10
oski15a01b71s,other,10
oski15a01b73s,other,10
oski15a01b75s,other,10
oski15a01b77s,linear,10
oski15a01b79s,linear,10
oski15a07b1s,other,10
oski15a07b3s,other,10
oski15a07b5s,other,10
oski15a08b06s,other,10
oski15a08b07s,other,10
oski15a08b09s,other,10
oski15a10b00s,other,10
oski15a10b01s,linear,10
oski15a10b03s,other,10
oski15a10b05s,nonlinear,10
oski15a10b07s,nonlinear,10
oski15a10b09s,nonlinear,10
oski15a10b11s,nonlinear,10
oski15a10b13s,linear,10
oski15a10b14s,nonlinear,10
oski15a10b15s,other,10
oski15a10b17s,linear,10
oski15a14b01s,linear,10
oski15a14b03s,nonlinear,10
oski15a14b05s,nonlinear,10
oski15a14b07s,other,10
oski15a14b08s,other,10
oski15a14b09s,other,10
oski15a14b11s,other,10
oski15a14b12s,nonlinear,10
oski15a14b13s,other,10
oski15a14b14s,other,10
oski15a14b15s,linear,10
oski15a14b16s,other,10
oski15a14b17s,other,10
oski15a14b18s,linear,10
oski15a14b19s,linear,10
oski15a14b21s,nonlinear,10
oski15a14b23s,nonlinear,10
oski15a14b25s,other,10
oski15a14b27s,other,10
oski15a14b29s,other,10
oski15a14b31s,linear,10
oski15a14b32s,other,10
oski15a14b33s,other,10
oski1rub03i,linear,10
oski2b1i,linear,10
oski2b2i,linear,10
oski2b3i,linear,10
oski2b4i,linear,10
oski2b5i,linear,10
oski2ub0i,linear,10
oski3b0i,linear,10
oski3b3i,linear,10
paper_v3,other,10
pcip1,other,10
pdtpmsam2901,nonlinear,10
pdtpmsarbiter,other,10
pdtpmsblackjack,other,10
pdtpmscoherence,other,10
pdtpmsns2,nonlinear,10
pdtpmsretherrtf,linear,10
pdtpmsrotate32,other,10
pdtpmss1269b,linear,10
pdtpmstwo,other,10
pdtpmsusbphy,other,10
pdtswvibs8x8p0,other,10
pdtswvsam6x8p1,other,10
pdtswvtma6x4p1,other,10
pdtswvtms12x8p1,other,10
pdtswvtms14x8p1,other,10
pdtvisbakery2,other,10
pdtvisblackjack0,linear,10
pdtvisblackjack1,linear,10
pdtvisblackjack2,linear,10
pdtviscoherence4,other,10
pdtvisgigamax3,other,10
pdtvisgigamax4,other,10
pdtvisgoodbakery0,other,10
pdtvisgray0,other,10
pdtvishuffman1,linear,10
pdtvisminmax0,other,10
pdtvisminmaxr1,other,10
pdtvisns2p3,linear,10
pdtvisns3p02,other,10
pdtvisretherrtf1,linear,10
pdtvisrethersqo0,linear,10
pdtvissoap2,other,10
pdtvistimeout0,other,10
pdtvistwoall3,other,10
pdtvisvending00,other,10
pdtvisvending07,other,10
pdtvisvending09,other,10
pdtvisvsa16a10,linear,10
pdtvisvsa16a16,other,10
pdtvisvsa16a27,other,10
pdtvisvsar22,other,10
pdtvsar8multip13,linear,10
pdtvsar8multip16,linear,10
pdtvsar8multip23,other,10
pdtvsarmultip08,other,10
pdtvsarmultip13,other,10
pdtvsarmultip29,other,10
pdtvsarmultip30,other,10
picorv32-check-p05,other,10
picorv32-check-p09,other,10
picorv32-check-p12,other,10
picorv32-check-p19,other,10
picorv32-check-p20,other,10
picorv32-check-p22,other,10
picorv32_mutAX_nomem-p2,other,10
picorv32_mutAX_nomem-p5,nonlinear,10
picorv32_mutAY_nomem-p4,nonlinear,10
picorv32_mutAY_nomem-p6,nonlinear,10
picorv32_mutBX_nomem-p5,nonlinear,10
picorv32_mutBY_nomem-p1,other,10
picorv32_mutBY_nomem-p3,other,10
picorv32_mutBY_nomem-p4,nonlinear,10
picorv32_mutBY_nomem-p6,nonlinear,10
picorv32_mutBY_nomem-p7,nonlinear,10
picorv32_mutCX_nomem-p0,nonlinear,10
picorv32_mutCY_nomem-p0,other,10
picorv32_mutCY_nomem-p3,other,10
pj2002,other,10
pj2003,other,10
pj2006,other,10
pj2007,linear,10
pj2010,other,10
pj2015,other,10
pj2016,other,10
pj2018,other,10
power2bit128,other,10
power2bit8,other,10
power2eq2048,other,10
power2eq32768,other,10
power2eq65536,other,10
power2sum128,other,10
power2sum256,other,10
power2sum32,other,10
prodcellp0neg,other,10
prodcellp1,other,10
prodcellp2neg,other,10
prodcellp4,other,10
productioncellp0,other,10
qspiflash_dualflexpress_divfive-p007,other,10
qspiflash_dualflexpress_divfive-p009,other,10
qspiflash_dualflexpress_divfive-p016,linear,10
qspiflash_dualflexpress_divfive-p022,linear,10
qspiflash_dualflexpress_divfive-p037,other,10
qspiflash_dualflexpress_divfive-p050,other,10
qspiflash_dualflexpress_divfive-p054,linear,10
qspiflash_dualflexpress_divfive-p058,linear,10
qspiflash_dualflexpress_divfive-p074,other,10
qspiflash_dualflexpress_divfive-p079,linear,10
qspiflash_dualflexpress_divfive-p092,other,10
qspiflash_dualflexpress_divfive-p097,linear,10
qspiflash_dualflexpress_divfive-p112,linear,10
qspiflash_dualflexpress_divfive-p116,linear,10
qspiflash_dualflexpress_divfive-p120,other,10
qspiflash_dualflexpress_divfive-p126,linear,10
qspiflash_dualflexpress_divfive-p127,linear,10
qspiflash_dualflexpress_divfive-p128,linear,10
qspiflash_dualflexpress_divfive-p133,linear,10
qspiflash_dualflexpress_divfive-p135,other,10
qspiflash_dualflexpress_divfive-p136,other,10
qspiflash_dualflexpress_divfive-p143,linear,10
qspiflash_dualflexpress_divfive-p154,other,10
qspiflash_dualflexpress_divfive-p161,linear,10
qspiflash_dualflexpress_divfive-p164,linear,10
qspiflash_dualflexpress_divthree-p005,other,10
qspiflash_dualflexpress_divthree-p006,other,10
qspiflash_dualflexpress_divthree-p007,other,10
qspiflash_dualflexpress_divthree-p010,other,10
qspiflash_dualflexpress_divthree-p012,other,10
qspiflash_dualflexpress_divthree-p032,other,10
qspiflash_dualflexpress_divthree-p034,other,10
qspiflash_dualflexpress_divthree-p046,other,10
qspiflash_dualflexpress_divthree-p054,linear,10
qspiflash_dualflexpress_divthree-p068,linear,10
qspiflash_dualflexpress_divthree-p069,other,10
qspiflash_dualflexpress_divthree-p075,linear,10
qspiflash_dualflexpress_divthree-p076,other,10
qspiflash_dualflexpress_divthree-p085,other,10
qspiflash_dualflexpress_divthree-p094,linear,10
qspiflash_dualflexpress_divthree-p106,other,10
qspiflash_dualflexpress_divthree-p111,other,10
qspiflash_dualflexpress_divthree-p113,linear,10
qspiflash_dualflexpress_divthree-p121,linear,10
qspiflash_dualflexpress_divthree-p124,linear,10
qspiflash_dualflexpress_divthree-p134,linear,10
qspiflash_dualflexpress_divthree-p136,linear,10
qspiflash_dualflexpress_divthree-p141,other,10
qspiflash_dualflexpress_divthree-p143,other,10
qspiflash_dualflexpress_divthree-p151,linear,10
qspiflash_dualflexpress_divthree-p153,linear,10
qspiflash_dualflexpress_divthree-p158,other,10
qspiflash_dualflexpress_divthree-p161,linear,10
qspiflash_dualflexpress_divthree-p164,linear,10
qspiflash_qflexpress_divfive-p017,linear,10
qspiflash_qflexpress_divfive-p029,linear,10
qspiflash_qflexpress_divfive-p036,linear,10
qspiflash_qflexpress_divfive-p038,linear,10
qspiflash_qflexpress_divfive-p048,other,10
qspiflash_qflexpress_divfive-p063,linear,10
qspiflash_qflexpress_divfive-p064,linear,10
qspiflash_qflexpress_divfive-p067,other,10
qspiflash_qflexpress_divfive-p075,linear,10
qspiflash_qflexpress_divfive-p079,linear,10
qspiflash_qflexpress_divfive-p094,other,10
qspiflash_qflexpress_divfive-p100,linear,10
qspiflash_qflexpress_divfive-p104,linear,10
qspiflash_qflexpress_divfive-p107,other,10
qspiflash_qflexpress_divfive-p113,other,10
qspiflash_qflexpress_divfive-p121,linear,10
qspiflash_qflexpress_divfive-p122,linear,10
qspiflash_qflexpress_divfive-p137,other,10
qspiflash_qflexpress_divfive-p139,linear,10
rast-p00,other,10
rast-p01,other,10
rast-p03,other,10
rast-p04,other,10
rast-p06,other,10
rast-p11,other,10
rast-p18,other,10
rast-p19,other,10
rast-p21,other,10
ridecore,other,10
ringp0,other,10
shift1add2048,other,10
shift1add256,other,10
shift1add262144,other,10
shift1add512,other,10
shift_register_top_w128_d16_e0,nonlinear,10
shift_register_top_w16_d16_e0,other,10
shift_register_top_w16_d32_e0,other,10
shift_register_top_w16_d64_e0,other,10
shift_register_top_w16_d8_e0,other,10
shift_register_top_w32_d16_e0,other,10
shift_register_top_w32_d8_e0,other,10
shift_register_top_w64_d8_e0,nonlinear,10
simple_alu,other,10
srg5ptimo,other,10
stack-p2,linear,10
texasifetch1p1,other,10
texasifetch1p8,other,10
texasparsesysp2,other,10
texasparsesysp3,other,10
texaspimainp01,other,10
texaspimainp05,other,10
texaspimainp12,other,10
vcegar_QF_BV_ar,other,10
vcegar_QF_BV_itc99_b13_p10,other,10
vcegar_arrays_itc99_b12_p2,other,10
vgasim_imgfifo-p047,linear,10
vgasim_imgfifo-p064,linear,10
vgasim_imgfifo-p066,other,10
vgasim_imgfifo-p082,linear,10
vgasim_imgfifo-p089,other,10
vgasim_imgfifo-p093,other,10
vgasim_imgfifo-p099,other,10
vgasim_imgfifo-p105,linear,10
vis4arbitp1,other,10
vis_arrays_am2901,other,10
vis_arrays_am2910_p1,linear,10
vis_arrays_am2910_p2,other,10
vis_arrays_am2910_p3,linear,10
vis_arrays_buf_bug,other,10
visarbiter,other,10
viscoherencep2,other,10
viscoherencep3,other,10
viselevatorp1,linear,10
viselevatorp2,other,10
viselevatorp3,other,10
visemodel,other,10
visprodcellp01,other,10
zipcpu-busdelay-p00,other,10
zipcpu-busdelay-p15,other,10
zipcpu-busdelay-p30,other,10
zipcpu-busdelay-p36,other,10
zipcpu-busdelay-p43,linear,10
zipcpu-busdelay-p46,other,10
zipcpu-busdelay-p47,linear,10
zipcpu-pfcache-p01,other,10
zipcpu-pfcache-p02,other,10
zipcpu-pfcache-p13,other,10
zipcpu-pfcache-p20,other,10
zipcpu-pfcache-p22,other,10
zipcpu-pfcache-p24,other,10
zipcpu-pfcache-p27,other,10
zipcpu-pfcache-p28,other,10
zipcpu-zipmmu-p00,other,10
zipcpu-zipmmu-p02,other,10
zipcpu-zipmmu-p09,other,10
zipcpu-zipmmu-p14,other,10
zipcpu-zipmmu-p26,other,10
zipcpu-zipmmu-p31,other,10
zipcpu-zipmmu-p33,other,10
zipcpu-zipmmu-p39,other,10
zipcpu-zipmmu-p48,other,10
zipversa_composecrc_prf-p00,linear,10
zipversa_composecrc_prf-p07,other,10
zipversa_composecrc_prf-p11,other,10
zipversa_composecrc_prf-p15,linear,10
zipversa_composecrc_prf-p17,linear,10
zipversa_composecrc_prf-p22,other,10
