instance_name,K,interpolant_status,smt2cnf_status,category
oski15a14b29s,10,none,none,linear
oski15a14b31s,10,none,none,linear
oski15a14b32s,10,none,none,linear
oski1rub03i,10,none,none,linear
oski2b1i,10,none,none,linear
oski2b2i,10,none,none,linear
oski2b3i,10,none,none,linear
oski2b4i,10,none,none,linear
oski2b5i,10,none,none,linear
oski3b3i,10,none,none,linear
pcip1,10,none,none,linear
pdtpmsrotate32,10,none,none,linear
pdtpmss1269b,10,none,none,linear
pdtpmsusbphy,10,none,none,linear
pdtswvsam6x8p1,10,none,none,linear
pdtvisblackjack0,10,none,none,linear
pdtvisblackjack1,10,none,none,linear
pdtvisblackjack2,10,none,none,linear
pdtviscoherence4,10,none,none,linear
pdtvisgigamax4,10,none,none,linear
pdtvisgray0,10,none,none,linear
pdtvishuffman1,10,none,none,linear
pdtvisminmax0,10,none,none,linear
pdtvisminmaxr1,10,none,none,linear
pdtvisns2p3,10,none,none,linear
pdtvisretherrtf1,10,none,none,linear
pdtvisrethersqo0,10,none,none,linear
pdtvistwoall3,10,none,none,linear
pdtvisvending09,10,none,none,linear
pdtvisvsa16a10,10,none,none,linear
pdtvisvsa16a16,10,none,none,linear
pdtvisvsa16a27,10,none,none,linear
pdtvisvsar22,10,none,none,linear
pdtvsar8multip13,10,none,none,linear
pdtvsar8multip16,10,none,none,linear
pdtvsar8multip23,10,none,none,linear
pdtvsarmultip08,10,none,none,linear
pdtvsarmultip13,10,none,none,linear
pdtvsarmultip29,10,none,none,linear
pdtvsarmultip30,10,none,none,linear
picorv32-check-p05,10,none,none,linear
picorv32-check-p12,10,none,none,linear
picorv32-check-p19,10,none,none,linear
picorv32-check-p22,10,none,none,linear
pj2002,10,none,none,linear
pj2003,10,none,none,linear
pj2007,10,none,none,linear
pj2010,10,none,none,linear
pj2016,10,none,none,linear
pj2018,10,none,none,linear
power2bit128,10,none,none,linear
power2bit8,10,none,none,linear
prodcellp0neg,10,none,none,linear
prodcellp1,10,none,none,linear
prodcellp2neg,10,none,none,linear
prodcellp4,10,none,none,linear
productioncellp0,10,none,none,linear
qspiflash_dualflexpress_divfive-p022,10,none,none,linear
qspiflash_dualflexpress_divfive-p054,10,none,none,linear
qspiflash_dualflexpress_divfive-p128,10,none,none,linear
qspiflash_dualflexpress_divfive-p143,10,none,none,linear
qspiflash_dualflexpress_divthree-p046,10,none,none,linear
qspiflash_dualflexpress_divthree-p143,10,none,none,linear
qspiflash_dualflexpress_divthree-p164,10,none,none,linear
qspiflash_qflexpress_divfive-p017,10,none,none,linear
qspiflash_qflexpress_divfive-p038,10,none,none,linear
rast-p01,10,none,none,linear
rast-p03,10,none,none,linear
rast-p04,10,none,none,linear
rast-p06,10,none,none,linear
rast-p11,10,none,none,linear
rast-p18,10,none,none,linear
rast-p19,10,none,none,linear
ringp0,10,none,none,linear
shift1add2048,10,none,none,linear
shift1add256,10,none,none,linear
shift1add262144,10,none,none,linear
shift1add512,10,none,none,linear
srg5ptimo,10,none,none,linear
stack-p1,10,none,none,linear
stack-p2,10,none,none,linear
texasifetch1p1,10,none,none,linear
texasifetch1p8,10,none,none,linear
texasparsesysp2,10,none,none,linear
texaspimainp01,10,none,none,linear
vcegar_QF_BV_ar,10,none,none,linear
vgasim_imgfifo-p047,10,none,none,linear
vgasim_imgfifo-p064,10,none,none,linear
vgasim_imgfifo-p082,10,none,none,linear
vgasim_imgfifo-p093,10,none,none,linear
vgasim_imgfifo-p099,10,none,none,linear
vis_arrays_am2910_p2,10,none,none,linear
viscoherencep2,10,none,none,linear
viselevatorp1,10,none,none,linear
viselevatorp2,10,none,none,linear
viselevatorp3,10,none,none,linear
visemodel,10,none,none,linear
visprodcellp01,10,none,none,linear
zipcpu-busdelay-p15,10,none,none,linear
zipcpu-busdelay-p43,10,none,none,linear
zipcpu-pfcache-p13,10,none,none,linear
zipcpu-pfcache-p20,10,none,none,linear
zipcpu-pfcache-p22,10,none,none,linear
zipcpu-pfcache-p27,10,none,none,linear
zipcpu-pfcache-p28,10,none,none,linear
zipcpu-zipmmu-p09,10,none,none,linear
zipcpu-zipmmu-p14,10,none,none,linear
zipcpu-zipmmu-p39,10,none,none,linear
zipversa_composecrc_prf-p00,10,none,none,linear
zipversa_composecrc_prf-p07,10,none,none,linear
zipversa_composecrc_prf-p11,10,none,none,linear
zipversa_composecrc_prf-p15,10,none,none,linear
zipversa_composecrc_prf-p17,10,none,none,linear
zipversa_composecrc_prf-p22,10,none,none,linear
