name,K,category,pddef,interpolant_computation_status,smt2cnf_status
beemandrsn4b1,6,exponential,1,partial,partial
beemcmbrdg1f1,33,exponential,1,none,none
beemextnc3f1,27,exponential,1,partial,partial
beemfrogs4f1,9,exponential,1,done,partial
beemfwt2b2,18,exponential,1,done,partial
beemlann2f1,24,exponential,1,partial,partial
beemlmprt8f1,23,exponential,1,none,none
beemmsmie1f1,21,exponential,1,partial,none
beemndhm4b3,16,exponential,1,none,none
beemprdcell2f1,27,exponential,1,done,done
bj08amba2g4f3,10,exponential,1,partial,none
bob12s09,5,exponential,1,partial,none
bobcohdoptdcd4,23,exponential,1,none,none
boblivear,19,exponential,1,partial,partial
buggy_ridecore,5,exponential,1,none,none
cal102,5,exponential,1,none,none
cal106,5,exponential,1,none,none
cal112,5,exponential,1,none,none
cal117,5,exponential,1,done,partial
cal119,5,exponential,1,done,partial
cal122,5,exponential,1,partial,none
cal123,5,exponential,1,partial,none
cal125,5,exponential,1,partial,none
cal129,5,exponential,1,partial,none
cal140,5,exponential,1,none,none
cal142,5,exponential,1,none,none
cal143,5,exponential,1,none,none
cal149,5,exponential,1,none,none
cal176,5,exponential,1,done,partial
cal21,11,exponential,1,none,none
cal33,8,exponential,1,none,none
cal34,9,exponential,1,none,none
cal4,5,exponential,1,done,partial
cal84,5,exponential,1,done,partial
cal97,5,exponential,1,none,none
cal99,5,exponential,1,none,none
circular_pointer_top_w64_d8_e0,12,exponential,1,partial,none
circular_pointer_top_w8_d16_e0,13,exponential,1,partial,partial
cmudme2,20,exponential,1,done,done
eijkbs4863,5,exponential,1,done,none
eijks1423,9,exponential,1,partial,none
eijks386,14,exponential,1,done,done
eijks444,22,exponential,1,done,done
gen43,11,exponential,1,none,none
gen44,11,exponential,1,none,none
intel012,13,exponential,1,done,done
intel020,11,exponential,1,done,done
intel040,17,exponential,1,done,done
irstdme5,16,exponential,1,done,done
irstdme6,15,exponential,1,done,done
mentorbm1and,10,exponential,1,done,done
mentorbm1p09,19,exponential,1,done,partial
oski15a01b02s,6,exponential,1,done,done
oski15a01b03s,10,exponential,1,partial,none
oski15a01b30s,7,exponential,1,done,partial
oski15a01b42s,6,exponential,1,done,done
oski15a01b44s,6,exponential,1,done,done
oski15a01b70s,6,exponential,1,done,partial
oski15a08b06s,7,exponential,1,none,none
oski15a08b07s,7,exponential,1,none,none
oski15a10b14s,12,exponential,1,partial,none
oski2ub0i,16,exponential,1,done,partial
oski3b0i,31,exponential,1,none,none
pdtpmsam2901,8,exponential,1,none,none
pdtpmsns2,13,exponential,1,partial,none
pdtvisgigamax3,10,exponential,1,done,done
pdtvistimeout0,19,exponential,1,none,none
picorv32_mutAX_nomem-p2,9,exponential,1,done,partial
picorv32_mutAX_nomem-p5,14,exponential,1,none,none
picorv32_mutAY_nomem-p6,7,exponential,1,done,partial
picorv32_mutBX_nomem-p5,9,exponential,1,done,partial
picorv32_mutBY_nomem-p1,10,exponential,1,done,partial
picorv32_mutBY_nomem-p3,10,exponential,1,done,partial
picorv32_mutBY_nomem-p4,12,exponential,1,none,none
picorv32_mutBY_nomem-p6,8,exponential,1,done,partial
picorv32_mutBY_nomem-p7,8,exponential,1,done,partial
picorv32_mutCX_nomem-p0,9,exponential,1,done,partial
picorv32_mutCY_nomem-p0,9,exponential,1,done,partial
picorv32_mutCY_nomem-p3,10,exponential,1,done,partial
qspiflash_dualflexpress_divfive-p007,18,exponential,1,partial,none
qspiflash_dualflexpress_divfive-p074,16,exponential,1,done,partial
qspiflash_dualflexpress_divfive-p120,26,exponential,1,done,done
qspiflash_dualflexpress_divthree-p012,18,exponential,1,partial,none
qspiflash_dualflexpress_divthree-p034,27,exponential,1,done,partial
qspiflash_dualflexpress_divthree-p068,30,exponential,1,done,done
qspiflash_dualflexpress_divthree-p113,33,exponential,1,done,done
qspiflash_dualflexpress_divthree-p121,25,exponential,1,done,partial
qspiflash_dualflexpress_divthree-p161,37,exponential,1,done,done
qspiflash_qflexpress_divfive-p036,31,exponential,1,done,partial
qspiflash_qflexpress_divfive-p104,17,exponential,1,done,partial
qspiflash_qflexpress_divfive-p107,27,exponential,1,done,done
qspiflash_qflexpress_divfive-p113,10,exponential,1,done,partial
qspiflash_qflexpress_divfive-p121,16,exponential,1,partial,none
shift_register_top_w128_d16_e0,7,exponential,1,done,partial
shift_register_top_w16_d16_e0,12,exponential,1,done,partial
shift_register_top_w16_d32_e0,11,exponential,1,done,partial
shift_register_top_w16_d64_e0,10,exponential,1,done,partial
shift_register_top_w16_d8_e0,15,exponential,1,partial,none
shift_register_top_w32_d16_e0,10,exponential,1,done,partial
shift_register_top_w64_d8_e0,15,exponential,1,partial,none
vis_arrays_am2901,12,exponential,1,none,none
vis_arrays_am2910_p3,43,exponential,1,done,done
vis_arrays_buf_bug,17,exponential,1,partial,none
zipcpu-busdelay-p00,20,exponential,1,partial,none
zipcpu-busdelay-p46,27,exponential,1,partial,none
zipcpu-busdelay-p47,36,exponential,1,partial,none
zipcpu-zipmmu-p33,15,exponential,1,partial,none
zipcpu-zipmmu-p48,12,exponential,1,partial,none
