instance_name,category,K
cal41,exclude,9
circular_pointer_top_w128_d8_e0,exclude,9
circular_pointer_top_w16_d32_e0,exclude,9
circular_pointer_top_w32_d16_e0,exclude,9
circular_pointer_top_w32_d32_e0,exclude,9
circular_pointer_top_w64_d8_e0,exclude,9
circular_pointer_top_w8_d16_e0,exclude,9
cmudme2,exclude,9
cmugigamax,exclude,9
cmuperiodic,exclude,9
counterp0,exclude,9
csmacdp2,exclude,9
dme6p1,linear,9
dme6p1neg,linear,9
dspfilters_fastfir_second-p04,exclude,9
dspfilters_fastfir_second-p07,exclude,9
dspfilters_fastfir_second-p09,exclude,9
dspfilters_fastfir_second-p10,exclude,9
dspfilters_fastfir_second-p16,nonlinear,9
dspfilters_fastfir_second-p21,exclude,9
dspfilters_fastfir_second-p25,nonlinear,9
eijkbs1512,exclude,9
eijkbs4863,exclude,9
eijks1196,exclude,9
eijks1238,exclude,9
eijks1423,exclude,9
eijks208c,exclude,9
eijks208o,exclude,9
eijks298,exclude,9
eijks344,exclude,9
eijks349,nonlinear,9
eijks386,exclude,9
eijks420,exclude,9
eijks444,exclude,9
eijks510,exclude,9
eijks713,exclude,9
eijks820,exclude,9
eijks832,exclude,9
eijks953,exclude,9
gen10,exclude,9
gen12,exclude,9
gen14,exclude,9
gen21,exclude,9
gen31,exclude,9
gen35,exclude,9
gen39,exclude,9
h_TreeArb,exclude,9
intel001,exclude,9
intel003,linear,9
intel004,linear,9
intel007,exclude,9
intel009,linear,9
intel012,linear,9
intel017,exclude,9
intel020,exclude,9
intel023,exclude,9
intel024,exclude,9
intel026,exclude,9
intel031,exclude,9
intel035,exclude,9
intel036,linear,9
intel037,linear,9
intel038,exclude,9
intel039,exclude,9
intel040,linear,9
intel042,exclude,9
intel043,linear,9
intel044,exclude,9
intel045,exclude,9
intel046,exclude,9
intel047,exclude,9
intel056,exclude,9
intel057,exclude,9
intel059,nonlinear,9
intel061,linear,9
intel063,linear,9
intersymbol_analog_estimation_convergence,exclude,9
irstdme5,nonlinear,9
irstdme6,exclude,9
kenflashp01,nonlinear,9
kenflashp03,nonlinear,9
kenflashp04,exclude,9
kenflashp07,exclude,9
kenflashp08,exclude,9
kenflashp09,exclude,9
kenflashp10,exclude,9
kenflashp11,exclude,9
kenflashp13,linear,9
kenoopp1,exclude,9
marlann_compute_cp_fail1-p2,exclude,9
marlann_compute_cp_fail2-p0,exclude,9
marlann_compute_cp_pass-p2,nonlinear,9
mentorbm1and,exclude,9
mentorbm1or,linear,9
mentorbm1p01,linear,9
mentorbm1p02,exclude,9
mentorbm1p05,linear,9
mentorbm1p07,exclude,9
mentorbm1p09,linear,9
miim,exclude,9
mul7,exclude,9
mutexp0,exclude,9
ndista128,exclude,9
ndista262144,exclude,9
neclabakery001,linear,9
neclaftp1002,linear,9
neclaftp2001,exclude,9
neclaftp2002,exclude,9
neclaftp4001,exclude,9
neclaftp4002,exclude,9
neclaftp5001,exclude,9
neclatcas1a001,exclude,9
nusmvbrp,exclude,9
nusmvguidancep1,nonlinear,9
nusmvguidancep6,exclude,9
nusmvguidancep8,exclude,9
nusmvreactorp1,exclude,9
nusmvreactorp3,exclude,9
nusmvreactorp4,exclude,9
nusmvreactorp5,nonlinear,9
nusmvreactorp6,exclude,9
nusmvsyncarb10p2,exclude,9
nusmvsyncarb5p2,exclude,9
nusmvtcasp2,nonlinear,9
nusmvtcasp3,exclude,9
nusmvtcastp3,exclude,9
oc8051gm0caddr,nonlinear,9
oc8051gm12data,nonlinear,9
oc8051gm15addr,exclude,9
oc8051gm1edata,nonlinear,9
oc8051gm2daddr,nonlinear,9
oc8051gm36addr,exclude,9
oc8051gm58addr,exclude,9
oc8051gm68addr,exclude,9
oc8051gm7daddr,nonlinear,9
oc8051gm98addr,nonlinear,9
oc8051gma6data,exclude,9
oc8051gmb8addr,exclude,9
oc8051gmc5addr,exclude,9
oc8051gmc6data,nonlinear,9
oc8051gmcadata,exclude,9
oc8051gmdaaddr,exclude,9
oc8051gmfbaddr,exclude,9
oski15a01b01s,exclude,9
oski15a01b02s,exclude,9
oski15a01b03s,exclude,9
oski15a01b04s,exclude,9
oski15a01b05s,linear,9
oski15a01b07s,exclude,9
oski15a01b09s,exclude,9
oski15a01b10s,linear,9
oski15a01b11s,linear,9
oski15a01b15s,linear,9
oski15a01b16s,linear,9
oski15a01b17s,exclude,9
oski15a01b19s,exclude,9
oski15a01b20s,exclude,9
oski15a01b21s,exclude,9
oski15a01b22s,exclude,9
oski15a01b23s,linear,9
oski15a01b24s,exclude,9
oski15a01b25s,exclude,9
oski15a01b27s,linear,9
oski15a01b29s,exclude,9
oski15a01b31s,exclude,9
oski15a01b33s,exclude,9
oski15a01b35s,exclude,9
oski15a01b37s,exclude,9
oski15a01b39s,exclude,9
oski15a01b41s,exclude,9
oski15a01b42s,exclude,9
oski15a01b43s,exclude,9
oski15a01b44s,exclude,9
oski15a01b45s,exclude,9
oski15a01b47s,exclude,9
oski15a01b49s,exclude,9
oski15a01b55s,linear,9
oski15a01b56s,exclude,9
oski15a01b57s,linear,9
oski15a01b59s,exclude,9
oski15a01b61s,exclude,9
oski15a01b63s,exclude,9
oski15a01b65s,exclude,9
oski15a01b67s,exclude,9
oski15a01b69s,exclude,9
oski15a01b71s,exclude,9
oski15a01b73s,exclude,9
oski15a01b75s,exclude,9
oski15a01b77s,linear,9
oski15a01b79s,linear,9
oski15a07b1s,exclude,9
oski15a07b3s,exclude,9
oski15a07b5s,exclude,9
oski15a08b06s,exclude,9
oski15a08b07s,exclude,9
oski15a08b09s,exclude,9
oski15a10b00s,exclude,9
oski15a10b01s,linear,9
oski15a10b03s,exclude,9
oski15a10b05s,nonlinear,9
oski15a10b07s,exclude,9
oski15a10b09s,exclude,9
oski15a10b11s,exclude,9
oski15a10b13s,linear,9
oski15a10b14s,exclude,9
oski15a10b15s,exclude,9
oski15a10b17s,linear,9
oski15a14b01s,linear,9
oski15a14b03s,exclude,9
oski15a14b05s,exclude,9
oski15a14b07s,exclude,9
oski15a14b08s,nonlinear,9
oski15a14b09s,exclude,9
oski15a14b11s,exclude,9
oski15a14b12s,exclude,9
oski15a14b13s,nonlinear,9
oski15a14b14s,exclude,9
oski15a14b15s,linear,9
oski15a14b16s,exclude,9
oski15a14b17s,nonlinear,9
oski15a14b18s,linear,9
oski15a14b19s,linear,9
oski15a14b21s,exclude,9
oski15a14b23s,exclude,9
oski15a14b25s,nonlinear,9
oski15a14b27s,nonlinear,9
oski15a14b29s,exclude,9
oski15a14b31s,linear,9
oski15a14b32s,exclude,9
oski15a14b33s,exclude,9
oski1rub03i,linear,9
oski2b1i,linear,9
oski2b2i,linear,9
oski2b3i,linear,9
oski2b4i,linear,9
oski2b5i,linear,9
oski2ub0i,linear,9
oski3b0i,linear,9
oski3b3i,linear,9
paper_v3,exclude,9
pcip1,exclude,9
pdtpmsam2901,exclude,9
pdtpmsarbiter,exclude,9
pdtpmsblackjack,exclude,9
pdtpmscoherence,exclude,9
pdtpmsns2,exclude,9
pdtpmsretherrtf,linear,9
pdtpmsrotate32,exclude,9
pdtpmss1269b,linear,9
pdtpmstwo,exclude,9
pdtpmsusbphy,exclude,9
pdtswvibs8x8p0,exclude,9
pdtswvsam6x8p1,exclude,9
pdtswvtma6x4p1,exclude,9
pdtswvtms12x8p1,nonlinear,9
pdtswvtms14x8p1,nonlinear,9
pdtvisbakery2,exclude,9
pdtvisblackjack0,linear,9
pdtvisblackjack1,linear,9
pdtvisblackjack2,linear,9
pdtviscoherence4,exclude,9
pdtvisgigamax3,exclude,9
pdtvisgigamax4,exclude,9
pdtvisgoodbakery0,exclude,9
pdtvisgray0,exclude,9
pdtvishuffman1,linear,9
pdtvisminmax0,exclude,9
pdtvisminmaxr1,exclude,9
pdtvisns2p3,linear,9
pdtvisns3p02,exclude,9
pdtvisretherrtf1,linear,9
pdtvisrethersqo0,linear,9
pdtvissoap2,exclude,9
pdtvistimeout0,exclude,9
pdtvistwoall3,exclude,9
pdtvisvending00,exclude,9
pdtvisvending07,exclude,9
pdtvisvending09,exclude,9
pdtvisvsa16a10,exclude,9
pdtvisvsa16a16,exclude,9
pdtvisvsa16a27,exclude,9
pdtvisvsar22,exclude,9
pdtvsar8multip13,exclude,9
pdtvsar8multip16,exclude,9
pdtvsar8multip23,exclude,9
pdtvsarmultip08,exclude,9
pdtvsarmultip13,exclude,9
pdtvsarmultip29,exclude,9
pdtvsarmultip30,exclude,9
picorv32-check-p05,exclude,9
picorv32-check-p09,exclude,9
picorv32-check-p12,exclude,9
picorv32-check-p19,exclude,9
picorv32-check-p20,exclude,9
picorv32-check-p22,exclude,9
picorv32_mutAX_nomem-p2,exclude,9
picorv32_mutAX_nomem-p5,nonlinear,9
picorv32_mutAY_nomem-p4,exclude,9
picorv32_mutAY_nomem-p6,exclude,9
picorv32_mutBX_nomem-p5,exclude,9
picorv32_mutBY_nomem-p1,exclude,9
picorv32_mutBY_nomem-p3,nonlinear,9
picorv32_mutBY_nomem-p4,exclude,9
picorv32_mutBY_nomem-p6,exclude,9
picorv32_mutBY_nomem-p7,exclude,9
picorv32_mutCX_nomem-p0,exclude,9
picorv32_mutCY_nomem-p0,exclude,9
picorv32_mutCY_nomem-p3,nonlinear,9
pj2002,exclude,9
pj2003,exclude,9
pj2006,nonlinear,9
pj2007,exclude,9
pj2010,exclude,9
pj2015,exclude,9
pj2016,nonlinear,9
pj2018,exclude,9
power2bit128,exclude,9
power2bit8,exclude,9
power2eq2048,exclude,9
power2eq32768,exclude,9
power2eq65536,exclude,9
power2sum128,exclude,9
power2sum256,exclude,9
power2sum32,exclude,9
prodcellp0neg,exclude,9
prodcellp1,exclude,9
prodcellp2neg,exclude,9
prodcellp4,exclude,9
productioncellp0,exclude,9
qspiflash_dualflexpress_divfive-p007,exclude,9
qspiflash_dualflexpress_divfive-p009,nonlinear,9
qspiflash_dualflexpress_divfive-p016,linear,9
qspiflash_dualflexpress_divfive-p022,linear,9
qspiflash_dualflexpress_divfive-p037,nonlinear,9
qspiflash_dualflexpress_divfive-p050,exclude,9
qspiflash_dualflexpress_divfive-p054,linear,9
qspiflash_dualflexpress_divfive-p058,linear,9
qspiflash_dualflexpress_divfive-p074,exclude,9
qspiflash_dualflexpress_divfive-p079,linear,9
qspiflash_dualflexpress_divfive-p092,nonlinear,9
qspiflash_dualflexpress_divfive-p097,linear,9
qspiflash_dualflexpress_divfive-p112,linear,9
qspiflash_dualflexpress_divfive-p116,linear,9
qspiflash_dualflexpress_divfive-p120,nonlinear,9
qspiflash_dualflexpress_divfive-p126,linear,9
qspiflash_dualflexpress_divfive-p127,linear,9
qspiflash_dualflexpress_divfive-p128,linear,9
qspiflash_dualflexpress_divfive-p133,linear,9
qspiflash_dualflexpress_divfive-p135,exclude,9
qspiflash_dualflexpress_divfive-p136,nonlinear,9
qspiflash_dualflexpress_divfive-p143,linear,9
qspiflash_dualflexpress_divfive-p154,exclude,9
qspiflash_dualflexpress_divfive-p161,linear,9
qspiflash_dualflexpress_divfive-p164,linear,9
qspiflash_dualflexpress_divthree-p005,exclude,9
qspiflash_dualflexpress_divthree-p006,nonlinear,9
qspiflash_dualflexpress_divthree-p007,exclude,9
qspiflash_dualflexpress_divthree-p010,exclude,9
qspiflash_dualflexpress_divthree-p012,exclude,9
qspiflash_dualflexpress_divthree-p032,exclude,9
qspiflash_dualflexpress_divthree-p034,exclude,9
qspiflash_dualflexpress_divthree-p046,nonlinear,9
qspiflash_dualflexpress_divthree-p054,linear,9
qspiflash_dualflexpress_divthree-p068,linear,9
qspiflash_dualflexpress_divthree-p069,exclude,9
qspiflash_dualflexpress_divthree-p075,linear,9
qspiflash_dualflexpress_divthree-p076,exclude,9
qspiflash_dualflexpress_divthree-p085,nonlinear,9
qspiflash_dualflexpress_divthree-p094,linear,9
qspiflash_dualflexpress_divthree-p106,nonlinear,9
qspiflash_dualflexpress_divthree-p111,nonlinear,9
qspiflash_dualflexpress_divthree-p113,linear,9
qspiflash_dualflexpress_divthree-p121,linear,9
qspiflash_dualflexpress_divthree-p124,linear,9
qspiflash_dualflexpress_divthree-p134,linear,9
qspiflash_dualflexpress_divthree-p136,linear,9
qspiflash_dualflexpress_divthree-p141,nonlinear,9
qspiflash_dualflexpress_divthree-p143,nonlinear,9
qspiflash_dualflexpress_divthree-p151,linear,9
qspiflash_dualflexpress_divthree-p153,linear,9
qspiflash_dualflexpress_divthree-p158,nonlinear,9
qspiflash_dualflexpress_divthree-p161,linear,9
qspiflash_dualflexpress_divthree-p164,linear,9
qspiflash_qflexpress_divfive-p017,linear,9
qspiflash_qflexpress_divfive-p029,linear,9
qspiflash_qflexpress_divfive-p036,linear,9
qspiflash_qflexpress_divfive-p038,linear,9
qspiflash_qflexpress_divfive-p048,nonlinear,9
qspiflash_qflexpress_divfive-p063,linear,9
qspiflash_qflexpress_divfive-p064,linear,9
qspiflash_qflexpress_divfive-p067,nonlinear,9
qspiflash_qflexpress_divfive-p075,linear,9
qspiflash_qflexpress_divfive-p079,linear,9
qspiflash_qflexpress_divfive-p094,exclude,9
qspiflash_qflexpress_divfive-p100,linear,9
qspiflash_qflexpress_divfive-p104,linear,9
qspiflash_qflexpress_divfive-p107,exclude,9
qspiflash_qflexpress_divfive-p113,exclude,9
qspiflash_qflexpress_divfive-p121,linear,9
qspiflash_qflexpress_divfive-p122,linear,9
qspiflash_qflexpress_divfive-p137,exclude,9
qspiflash_qflexpress_divfive-p139,linear,9
rast-p00,exclude,9
rast-p01,exclude,9
rast-p03,exclude,9
rast-p04,exclude,9
rast-p06,exclude,9
rast-p11,exclude,9
rast-p18,exclude,9
rast-p19,exclude,9
rast-p21,exclude,9
ridecore,exclude,9
ringp0,exclude,9
shift1add2048,exclude,9
shift1add256,exclude,9
shift1add262144,exclude,9
shift1add512,exclude,9
shift_register_top_w128_d16_e0,exclude,9
shift_register_top_w16_d16_e0,exclude,9
shift_register_top_w16_d32_e0,exclude,9
shift_register_top_w16_d64_e0,exclude,9
shift_register_top_w16_d8_e0,exclude,9
shift_register_top_w32_d16_e0,exclude,9
shift_register_top_w32_d8_e0,exclude,9
shift_register_top_w64_d8_e0,exclude,9
simple_alu,exclude,9
srg5ptimo,exclude,9
stack-p2,linear,9
texasifetch1p1,exclude,9
texasifetch1p8,exclude,9
texasparsesysp2,exclude,9
texasparsesysp3,exclude,9
texaspimainp01,exclude,9
texaspimainp05,exclude,9
texaspimainp12,exclude,9
vcegar_QF_BV_ar,exclude,9
vcegar_QF_BV_itc99_b13_p10,exclude,9
vcegar_arrays_itc99_b12_p2,exclude,9
vgasim_imgfifo-p047,exclude,9
vgasim_imgfifo-p064,exclude,9
vgasim_imgfifo-p066,exclude,9
vgasim_imgfifo-p082,exclude,9
vgasim_imgfifo-p089,exclude,9
vgasim_imgfifo-p093,exclude,9
vgasim_imgfifo-p099,exclude,9
vgasim_imgfifo-p105,exclude,9
vis4arbitp1,nonlinear,9
vis_arrays_am2901,exclude,9
vis_arrays_am2910_p1,linear,9
vis_arrays_am2910_p2,exclude,9
vis_arrays_am2910_p3,linear,9
vis_arrays_buf_bug,exclude,9
visarbiter,exclude,9
viscoherencep2,exclude,9
viscoherencep3,exclude,9
viselevatorp1,linear,9
viselevatorp2,nonlinear,9
viselevatorp3,nonlinear,9
visemodel,exclude,9
visprodcellp01,nonlinear,9
zipcpu-busdelay-p00,nonlinear,9
zipcpu-busdelay-p15,exclude,9
zipcpu-busdelay-p30,nonlinear,9
zipcpu-busdelay-p36,exclude,9
zipcpu-busdelay-p43,linear,9
zipcpu-busdelay-p46,nonlinear,9
zipcpu-busdelay-p47,linear,9
zipcpu-pfcache-p01,nonlinear,9
zipcpu-pfcache-p02,nonlinear,9
zipcpu-pfcache-p13,nonlinear,9
zipcpu-pfcache-p20,nonlinear,9
zipcpu-pfcache-p22,nonlinear,9
zipcpu-pfcache-p24,nonlinear,9
zipcpu-pfcache-p27,exclude,9
zipcpu-pfcache-p28,nonlinear,9
zipcpu-zipmmu-p00,exclude,9
zipcpu-zipmmu-p02,exclude,9
zipcpu-zipmmu-p09,exclude,9
zipcpu-zipmmu-p14,exclude,9
zipcpu-zipmmu-p26,exclude,9
zipcpu-zipmmu-p31,exclude,9
zipcpu-zipmmu-p33,exclude,9
zipcpu-zipmmu-p39,exclude,9
zipcpu-zipmmu-p48,exclude,9
zipversa_composecrc_prf-p00,linear,9
zipversa_composecrc_prf-p07,nonlinear,9
zipversa_composecrc_prf-p11,nonlinear,9
zipversa_composecrc_prf-p15,linear,9
zipversa_composecrc_prf-p17,linear,9
zipversa_composecrc_prf-p22,nonlinear,9
