6s325rb072.60.12.interpolant	[176077, 'UNSAT']
6s325rb072.60.26.interpolant	[364121, 'UNSAT']
6s325rb072.60.45.interpolant	[-2, 'Unknown']
6s362rb1.60.15.interpolant	[1, 'UNSAT']
6s325rb072.60.3.interpolant	[103966, 'UNSAT']
6s38.60.32.interpolant	[-1, 'Unknown']
6s372rb26.60.59.interpolant	[1, 'UNSAT']
6s277rb292.60.52.interpolant	[373897, 'UNSAT']
6s326rb08.60.58.interpolant	[2, 'UNSAT']
6s362rb1.60.48.interpolant	[1, 'UNSAT']
6s277rb292.60.31.interpolant	[277963, 'UNSAT']
6s362rb1.60.0.interpolant	[1, 'UNSAT']
6s325rb072.60.18.interpolant	[98429, 'UNSAT']
6s317b14.60.2.interpolant	[95997, 'UNSAT']
6s277rb292.60.24.interpolant	[81553, 'UNSAT']
6s275rb318.60.52.interpolant	[770780, 'UNSAT']
6s391rb379.60.38.interpolant	[7, 'UNSAT']
6s372rb26.60.3.interpolant	[1, 'UNSAT']
6s38.60.19.interpolant	[-1, 'Unknown']
6s391rb379.60.1.interpolant	[47, 'UNSAT']
6s277rb292.60.47.interpolant	[314976, 'UNSAT']
6s325rb072.60.50.interpolant	[-2, 'Unknown']
6s277rb292.60.8.interpolant	[11386, 'UNSAT']
6s38.60.27.interpolant	[-1, 'Unknown']
6s421rb083.60.24.interpolant	[-2, 'Unknown']
6s326rb08.60.10.interpolant	[22, 'UNSAT']
6s38.60.44.interpolant	[-1, 'Unknown']
6s372rb26.60.11.interpolant	[1, 'UNSAT']
6s325rb072.60.33.interpolant	[930003, 'UNSAT']
6s38.60.5.interpolant	[-1, 'Unknown']
6s326rb08.60.59.interpolant	[1, 'UNSAT']
6s277rb292.60.53.interpolant	[193029, 'UNSAT']
6s372rb26.60.58.interpolant	[2, 'UNSAT']
6s325rb072.60.19.interpolant	[119557, 'UNSAT']
6s362rb1.60.1.interpolant	[1, 'UNSAT']
6s277rb292.60.30.interpolant	[374489, 'UNSAT']
6s362rb1.60.49.interpolant	[1, 'UNSAT']
6s325rb072.60.27.interpolant	[358688, 'UNSAT']
6s391rb379.60.12.interpolant	[58, 'UNSAT']
6s38.60.50.interpolant	[-1, 'Unknown']
6s325rb072.60.2.interpolant	[33458, 'UNSAT']
6s38.60.33.interpolant	[-1, 'Unknown']
6s362rb1.60.14.interpolant	[1, 'UNSAT']
6s325rb072.60.44.interpolant	[-2, 'Unknown']
6s421rb083.60.25.interpolant	[-2, 'Unknown']
6s277rb292.60.9.interpolant	[4246, 'UNSAT']
6s38.60.26.interpolant	[-1, 'Unknown']
6s325rb072.60.51.interpolant	[-2, 'Unknown']
6s38.60.4.interpolant	[-1, 'Unknown']
6s325rb072.60.32.interpolant	[779971, 'UNSAT']
6s372rb26.60.10.interpolant	[1, 'UNSAT']
6s326rb08.60.11.interpolant	[17, 'UNSAT']
6s38.60.45.interpolant	[-1, 'Unknown']
6s391rb379.60.39.interpolant	[1, 'UNSAT']
6s275rb318.60.53.interpolant	[397654, 'UNSAT']
6s277rb292.60.25.interpolant	[50647, 'UNSAT']
6s317b14.60.3.interpolant	[1023026, 'UNSAT']
6s277rb292.60.46.interpolant	[555564, 'UNSAT']
6s372rb26.60.2.interpolant	[5, 'UNSAT']
6s38.60.18.interpolant	[-1, 'Unknown']
6s391rb379.60.0.interpolant	[61, 'UNSAT']
6s372rb26.60.1.interpolant	[8, 'UNSAT']
6s391rb379.60.3.interpolant	[38, 'UNSAT']
6s421rb083.60.18.interpolant	[-2, 'Unknown']
6s277rb292.60.45.interpolant	[314145, 'UNSAT']
6s391rb379.60.59.interpolant	[130, 'UNSAT']
6s317b14.60.0.interpolant	[122, 'UNSAT']
6s326rb08.60.9.interpolant	[19, 'UNSAT']
6s277rb292.60.26.interpolant	[111455, 'UNSAT']
6s325rb072.60.31.interpolant	[491201, 'UNSAT']
6s38.60.7.interpolant	[-1, 'Unknown']
6s38.60.46.interpolant	[-1, 'Unknown']
6s326rb08.60.12.interpolant	[21, 'UNSAT']
6s372rb26.60.13.interpolant	[1, 'UNSAT']
6s277rb292.60.18.interpolant	[59543, 'UNSAT']
6s38.60.25.interpolant	[-1, 'Unknown']
6s325rb072.60.52.interpolant	[-2, 'Unknown']
6s362rb1.60.17.interpolant	[1, 'UNSAT']
6s38.60.30.interpolant	[-1, 'Unknown']
6s325rb072.60.1.interpolant	[7045, 'UNSAT']
6s421rb083.60.9.interpolant	[-2, 'Unknown']
6s325rb072.60.47.interpolant	[-2, 'Unknown']
6s391rb379.60.11.interpolant	[58, 'UNSAT']
6s325rb072.60.24.interpolant	[641933, 'UNSAT']
6s38.60.53.interpolant	[-1, 'Unknown']
6s372rb26.60.38.interpolant	[11, 'UNSAT']
6s277rb292.60.33.interpolant	[350663, 'UNSAT']
6s326rb08.60.39.interpolant	[17, 'UNSAT']
6s362rb1.60.2.interpolant	[1, 'UNSAT']
6s362rb1.60.29.interpolant	[1, 'UNSAT']
6s277rb292.60.50.interpolant	[639121, 'UNSAT']
6s277rb292.60.19.interpolant	[20736, 'UNSAT']
6s372rb26.60.12.interpolant	[1, 'UNSAT']
6s38.60.47.interpolant	[-1, 'Unknown']
6s326rb08.60.13.interpolant	[17, 'UNSAT']
6s38.60.6.interpolant	[-1, 'Unknown']
6s325rb072.60.30.interpolant	[367956, 'UNSAT']
6s325rb072.60.53.interpolant	[-2, 'Unknown']
6s421rb083.60.27.interpolant	[-2, 'Unknown']
6s38.60.24.interpolant	[-1, 'Unknown']
6s391rb379.60.58.interpolant	[130, 'UNSAT']
6s277rb292.60.44.interpolant	[437236, 'UNSAT']
6s421rb083.60.19.interpolant	[-2, 'Unknown']
6s372rb26.60.0.interpolant	[9, 'UNSAT']
6s391rb379.60.2.interpolant	[41, 'UNSAT']
6s326rb08.60.8.interpolant	[27, 'UNSAT']
6s277rb292.60.27.interpolant	[184245, 'UNSAT']
6s317b14.60.1.interpolant	[4666, 'UNSAT']
6s275rb318.60.51.interpolant	[332881, 'UNSAT']
6s362rb1.60.3.interpolant	[1, 'UNSAT']
6s326rb08.60.38.interpolant	[21, 'UNSAT']
6s277rb292.60.32.interpolant	[429610, 'UNSAT']
6s372rb26.60.39.interpolant	[11, 'UNSAT']
6s277rb292.60.51.interpolant	[242081, 'UNSAT']
6s362rb1.60.28.interpolant	[1, 'UNSAT']
6s325rb072.60.46.interpolant	[-2, 'Unknown']
6s421rb083.60.8.interpolant	[-2, 'Unknown']
6s38.60.31.interpolant	[-1, 'Unknown']
6s325rb072.60.0.interpolant	[1310, 'UNSAT']
6s362rb1.60.16.interpolant	[1, 'UNSAT']
6s38.60.52.interpolant	[-1, 'Unknown']
6s325rb072.60.25.interpolant	[611688, 'UNSAT']
6s391rb379.60.10.interpolant	[53, 'UNSAT']
6s325rb072.60.6.interpolant	[191719, 'UNSAT']
6s38.60.37.interpolant	[-1, 'Unknown']
6s362rb1.60.10.interpolant	[1, 'UNSAT']
6s325rb072.60.40.interpolant	[-2, 'Unknown']
6s325rb072.60.23.interpolant	[537410, 'UNSAT']
6s391rb379.60.16.interpolant	[100, 'UNSAT']
6s38.60.54.interpolant	[-1, 'Unknown']
6s391rb379.60.28.interpolant	[39, 'UNSAT']
6s362rb1.60.5.interpolant	[1, 'UNSAT']
6s277rb292.60.34.interpolant	[519924, 'UNSAT']
6s277rb292.60.57.interpolant	[133265, 'UNSAT']
6s372rb26.60.49.interpolant	[11, 'UNSAT']
6s277rb292.60.42.interpolant	[611496, 'UNSAT']
6s391rb379.60.4.interpolant	[34, 'UNSAT']
6s326rb08.60.48.interpolant	[21, 'UNSAT']
6s372rb26.60.6.interpolant	[1, 'UNSAT']
6s275rb318.60.57.interpolant	[487212, 'UNSAT']
6s362rb1.60.58.interpolant	[4, 'UNSAT']
6s277rb292.60.21.interpolant	[42245, 'UNSAT']
6s38.60.0.interpolant	[-1, 'Unknown']
6s325rb072.60.36.interpolant	[908436, 'UNSAT']
6s372rb26.60.14.interpolant	[1, 'UNSAT']
6s326rb08.60.15.interpolant	[17, 'UNSAT']
6s38.60.41.interpolant	[-1, 'Unknown']
6s421rb083.60.21.interpolant	[-2, 'Unknown']
6s38.60.22.interpolant	[-1, 'Unknown']
6s275rb318.60.6.interpolant	[21527, 'UNSAT']
6s325rb072.60.55.interpolant	[-2, 'Unknown']
6s277rb292.60.35.interpolant	[272052, 'UNSAT']
6s362rb1.60.4.interpolant	[1, 'UNSAT']
6s391rb379.60.29.interpolant	[39, 'UNSAT']
6s277rb292.60.56.interpolant	[546704, 'UNSAT']
6s325rb072.60.41.interpolant	[-2, 'Unknown']
6s362rb1.60.11.interpolant	[1, 'UNSAT']
6s325rb072.60.7.interpolant	[111496, 'UNSAT']
6s38.60.36.interpolant	[-1, 'Unknown']
6s38.60.55.interpolant	[-1, 'Unknown']
6s391rb379.60.17.interpolant	[164, 'UNSAT']
6s325rb072.60.22.interpolant	[494547, 'UNSAT']
6s326rb08.60.14.interpolant	[21, 'UNSAT']
6s38.60.40.interpolant	[-1, 'Unknown']
6s372rb26.60.15.interpolant	[1, 'UNSAT']
6s325rb072.60.37.interpolant	[779075, 'UNSAT']
6s38.60.1.interpolant	[-1, 'Unknown']
6s275rb318.60.7.interpolant	[4400, 'UNSAT']
6s325rb072.60.54.interpolant	[-2, 'Unknown']
6s38.60.23.interpolant	[-1, 'Unknown']
6s421rb083.60.20.interpolant	[-2, 'Unknown']
6s391rb379.60.5.interpolant	[35, 'UNSAT']
6s372rb26.60.7.interpolant	[1, 'UNSAT']
6s326rb08.60.49.interpolant	[17, 'UNSAT']
6s277rb292.60.43.interpolant	[299298, 'UNSAT']
6s372rb26.60.48.interpolant	[11, 'UNSAT']
6s317b14.60.6.interpolant	[3617090, 'UNSAT']
6s277rb292.60.20.interpolant	[75054, 'UNSAT']
6s362rb1.60.59.interpolant	[5, 'UNSAT']
6s275rb318.60.56.interpolant	[701593, 'UNSAT']
6s372rb26.60.28.interpolant	[9, 'UNSAT']
6s277rb292.60.23.interpolant	[48483, 'UNSAT']
6s317b14.60.5.interpolant	[1721356, 'UNSAT']
6s326rb08.60.29.interpolant	[17, 'UNSAT']
6s275rb318.60.55.interpolant	[463108, 'UNSAT']
6s362rb1.60.39.interpolant	[1, 'UNSAT']
6s277rb292.60.40.interpolant	[530371, 'UNSAT']
6s391rb379.60.6.interpolant	[34, 'UNSAT']
6s372rb26.60.4.interpolant	[1, 'UNSAT']
6s325rb072.60.57.interpolant	[1995158, 'UNSAT']
6s421rb083.60.23.interpolant	[-2, 'Unknown']
6s38.60.20.interpolant	[-1, 'Unknown']
6s372rb26.60.16.interpolant	[1, 'UNSAT']
6s38.60.43.interpolant	[-1, 'Unknown']
6s326rb08.60.17.interpolant	[17, 'UNSAT']
6s38.60.2.interpolant	[-1, 'Unknown']
6s325rb072.60.34.interpolant	[1121452, 'UNSAT']
6s38.60.56.interpolant	[-1, 'Unknown']
6s325rb072.60.21.interpolant	[269458, 'UNSAT']
6s391rb379.60.14.interpolant	[58, 'UNSAT']
6s325rb072.60.42.interpolant	[-2, 'Unknown']
6s38.60.35.interpolant	[-1, 'Unknown']
6s325rb072.60.4.interpolant	[181603, 'UNSAT']
6s362rb1.60.12.interpolant	[1, 'UNSAT']
6s391rb379.60.49.interpolant	[6, 'UNSAT']
6s277rb292.60.55.interpolant	[231025, 'UNSAT']
6s362rb1.60.7.interpolant	[1, 'UNSAT']
6s277rb292.60.36.interpolant	[419797, 'UNSAT']
6s38.60.21.interpolant	[-1, 'Unknown']
6s421rb083.60.22.interpolant	[-2, 'Unknown']
6s275rb318.60.5.interpolant	[3989, 'UNSAT']
6s325rb072.60.56.interpolant	[4905204, 'UNSAT']
6s325rb072.60.35.interpolant	[1036123, 'UNSAT']
6s38.60.3.interpolant	[-1, 'Unknown']
6s38.60.42.interpolant	[-1, 'Unknown']
6s326rb08.60.16.interpolant	[21, 'UNSAT']
6s372rb26.60.17.interpolant	[1, 'UNSAT']
6s275rb318.60.54.interpolant	[571936, 'UNSAT']
6s317b14.60.4.interpolant	[1408439, 'UNSAT']
6s326rb08.60.28.interpolant	[21, 'UNSAT']
6s277rb292.60.22.interpolant	[79971, 'UNSAT']
6s372rb26.60.29.interpolant	[10, 'UNSAT']
6s391rb379.60.7.interpolant	[36, 'UNSAT']
6s372rb26.60.5.interpolant	[1, 'UNSAT']
6s277rb292.60.41.interpolant	[317620, 'UNSAT']
6s362rb1.60.38.interpolant	[1, 'UNSAT']
6s277rb292.60.54.interpolant	[610273, 'UNSAT']
6s391rb379.60.48.interpolant	[6, 'UNSAT']
6s277rb292.60.37.interpolant	[324586, 'UNSAT']
6s362rb1.60.6.interpolant	[1, 'UNSAT']
6s391rb379.60.15.interpolant	[57, 'UNSAT']
6s325rb072.60.20.interpolant	[112727, 'UNSAT']
6s38.60.57.interpolant	[-1, 'Unknown']
6s362rb1.60.13.interpolant	[1, 'UNSAT']
6s38.60.34.interpolant	[-1, 'Unknown']
6s325rb072.60.5.interpolant	[169099, 'UNSAT']
6s325rb072.60.43.interpolant	[-2, 'Unknown']
